Title,Year,PreNomination,PostNomination,PostAwards,Total,Win
Dances with Wolves,1990,"$104,300,000","$32,700,000","$47,100,000","$184,200,000",1
Pulp Fiction,1994,"$76,300,000","$19,000,000","$12,600,000","$107,900,000",0
Amadeus,1984,"$25,700,000","$9,100,000","$16,800,000","$51,600,000",1
Life of Pi,2012,"$91,800,000","$21,700,000","$11,500,000","$125,000,000",0
True Grit,2010,"$138,500,000","$28,600,000","$4,100,000","$171,200,000",0
Children of a Lesser God,1986,"$22,100,000","$5,300,000","$4,400,000","$31,900,000",0
Avatar,2009,"$598,500,000","$122,200,000","$29,200,000","$749,800,000",0
The Prince of Tides,1991,"$59,300,000","$12,000,000","$3,500,000","$74,800,000",0
The Curious Case of Benjamin Button,2008,"$104,400,000","$19,800,000","$3,300,000","$127,500,000",0
The Thin Red Line,1998,"$30,600,000","$5,300,000","$452,000","$36,400,000",0
JFK,1991,"$58,100,000","$10,300,000","$2,000,000","$70,400,000",0
Argo,2012,"$110,300,000","$19,300,000","$6,400,000","$136,000,000",1
Jerry Maguire,1996,"$121,500,000","$21,700,000","$10,800,000","$154,000,000",0
Beauty and the Beast,1991,"$106,600,000","$19,000,000","$20,300,000","$145,900,000",0
Munich,2005,"$40,800,000","$6,000,000","$672,000","$47,400,000",0
A Room with a View,1986,"$11,500,000","$2,500,000","$6,900,000","$21,000,000",0
The Hurt Locker,2009,"$12,700,000","$2,000,000","$2,300,000","$17,000,000",1
The Full Monty,1997,"$38,900,000","$5,500,000","$1,600,000","$46,000,000",0
Kiss of the Spider Woman,1985,"$13,100,000","$2,000,000","$1,900,000","$17,000,000",0
Up in the Air,2009,"$73,500,000","$9,500,000","$812,000","$83,800,000",0
The Green Mile,1999,"$120,600,000","$14,400,000","$1,700,000","$136,800,000",0
The Remains of the Day,1993,"$19,500,000","$2,400,000","$1,300,000","$23,200,000",0
A Few Good Men,1992,"$120,100,000","$14,300,000","$7,000,000","$141,300,000",0
Beasts of the Southern Wild,2012,"$11,300,000","$1,300,000","$224,000","$12,800,000",0
Quiz Show,1994,"$21,900,000","$2,400,000","$475,000","$24,800,000",0
Gangs of New York,2002,"$70,100,000","$6,900,000","$790,000","$77,800,000",0
Braveheart,1995,"$67,000,000","$6,300,000","$2,300,000","$75,600,000",1
The Lord of the Rings: The Fellowship of the Ring,2001,"$271,700,000","$25,900,000","$15,800,000","$313,400,000",0
War Horse,2011,"$72,600,000","$6,500,000","$843,000","$79,900,000",0
Master and Commander: The Far Side of the World,2003,"$85,300,000","$7,200,000","$1,400,000","$93,900,000",0
The Departed,2006,"$121,800,000","$10,000,000","$579,000","$132,400,000",1
Unforgiven,1992,"$75,300,000","$7,600,000","$18,300,000","$101,200,000",1
Babe,1995,"$58,200,000","$4,600,000","$865,000","$63,700,000",0
Saving Private Ryan,1998,"$194,900,000","$15,300,000","$6,300,000","$216,500,000",0
The Lord of the Rings: The Return of the King,2003,"$338,300,000","$25,800,000","$12,900,000","$377,000,000",1
Places in the Heart,1984,"$31,200,000","$2,300,000","$1,300,000","$34,900,000",0
The Big Chill,1983,"$52,500,000","$3,700,000","$181,000","$56,300,000",0
The Insider,1999,"$26,600,000","$1,900,000","$609,000","$29,100,000",0
Goodfellas,1990,"$41,000,000","$2,900,000","$2,900,000","$46,800,000",0
Fatal Attraction,1987,"$142,300,000","$9,300,000","$5,000,000","$156,600,000",0
Gravity,2013,"$256,400,000","$14,100,000","$3,600,000","$274,100,000",0
Forrest Gump,1994,"$300,600,000","$16,900,000","$12,200,000","$329,700,000",1
The Blind Side,2009,"$238,100,000","$12,300,000","$5,500,000","$256,000,000",0
The Godfather Part III,1990,"$62,500,000","$3,200,000","$956,000","$66,700,000",0
The Sixth Sense,1999,"$278,400,000","$11,900,000","$3,200,000","$293,500,000",0
The Lord of the Rings: The Two Towers,2002,"$321,100,000","$13,700,000","$5,000,000","$339,800,000",0
Boyhood,2014,"$24,400,000","$943,000","$36,800","$25,400,000",0
Winter's Bone,2010,"$6,300,000","$231,000","$28,800","$6,500,000",0
E.T.: The Extra-Terrestrial,1982,"$329,400,000","$12,700,000","$17,100,000","$359,200,000",0
Ray,2004,"$73,100,000","$2,000,000","$252,000","$75,300,000",0
The Fugitive,1993,"$179,400,000","$4,400,000","$89,000","$183,900,000",0
A Soldier's Story,1984,"$21,400,000","$436,000",$0,"$21,800,000",0
Captain Phillips,2013,"$105,100,000","$2,000,000",$0,"$107,100,000",0
The Social Network,2010,"$95,400,000","$1,500,000","$44,800","$97,000,000",0
Ghost,1990,"$213,600,000","$2,900,000","$1,100,000","$217,600,000",0
Fargo,1996,"$24,100,000","$183,000","$346,000","$24,600,000",0
Midnight in Paris,2011,"$56,400,000","$272,000","$96,500","$56,800,000",0
Little Miss Sunshine,2006,"$59,600,000","$237,000","$59,600","$59,900,000",0
Moulin Rouge!,2001,"$57,100,000","$212,000","$39,900","$57,400,000",0
Gladiator,2000,"$186,600,000","$269,000","$835,000","$187,700,000",1
Moneyball,2011,"$75,500,000","$72,600",$0,"$75,600,000",0
The Help,2011,"$169,600,000","$97,400","$10,800","$169,700,000",0
Seabiscuit,2003,"$120,200,000","$46,300",$0,"$120,300,000",0
The Silence of the Lambs,1991,"$130,700,000",$0,$0,"$130,700,000",1
Toy Story 3,2010,"$415,000,000",$0,$0,"$415,000,000",0
Inglourious Basterds,2009,"$120,500,000",$0,$0,"$120,500,000",0
The Kids Are All Right,2010,"$20,800,000",$0,$0,"$20,800,000",0
Prizzi's Honor,1985,"$26,700,000",$0,$0,"$26,700,000",0
District 9,2009,"$115,600,000",$0,$0,"$115,600,000",0
Missing,1982,"$14,000,000",$0,$0,"$14,000,000",0
Inception,2010,"$292,600,000",$0,$0,"$292,600,000",0
The Grand Budapest Hotel,2014,"$59,100,000",$0,$0,"$59,100,000",0
Witness,1985,"$68,700,000",$0,$0,"$68,700,000",0
A Serious Man,2009,"$9,200,000",$0,$0,"$9,200,000",0
Crash,2005,"$53,400,000",$0,"$1,200,000","$54,600,000",1
Erin Brockovich,2000,"$125,600,000",$0,$0,"$125,600,000",0
Up,2009,"$293,000,000",$0,$0,"$293,000,000",0
Dead Poets Society,1989,"$95,900,000",$0,$0,"$95,900,000",0
Tender Mercies,1983,"$8,400,000",$0,$0,"$8,400,000",0
The Tree of Life,2011,"$13,300,000",$0,$0,"$13,300,000",0
Field of Dreams,1989,"$64,400,000",$0,$0,"$64,400,000",0
Apollo 13,1995,"$172,100,000",$0,$0,"$172,100,000",0
Hannah and Her Sisters,1986,"$35,400,000",$0,$0,"$35,400,000",0
Four Weddings and a Funeral,1994,"$52,700,000",$0,$0,"$52,700,000",0
