Rated,Title,Writer,Actors,imdbVotes,Released,Awards,Genre,imdbRating,PreNomination,Language,Country,PostAwards,Error,Runtime,PostNomination,Win,Metascore,Response,Year,Total,imdbID
PG-13,An Education,"Lynn Barber (memoir), Nick Hornby (screenplay)","Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour",106867,05 Feb 2010,Nominated for 3 Oscars. Another 34 wins & 85 nominations.,Drama,7.3,"$8,800,000","English, French","UK, USA","$533,000",,100 min,"$3,200,000",0,85,True,2009,"$12,600,000",tt1174732
R,The Wolf of Wall Street,"Terence Winter (screenplay), Jordan Belfort (book)","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",660792,25 Dec 2013,Nominated for 5 Oscars. Another 33 wins & 143 nominations.,"Biography, Comedy, Crime",8.2,"$81,700,000","English, French",USA,"$2,300,000",,180 min,"$32,800,000",0,75,True,2013,"$116,900,000",tt0993846
PG-13,Million Dollar Baby,"Paul Haggis (screenplay), F.X. Toole (stories)","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",440683,28 Jan 2005,Won 4 Oscars. Another 59 wins & 69 nominations.,"Drama, Sport",8.1,"$8,500,000","English, Irish",USA,"$35,600,000",,132 min,"$56,400,000",1,86,True,2004,"$100,500,000",tt0405159
PG,Out of Africa,"Karen Blixen (based upon: ""Out of Africa"" and other writings), Judith Thurman (book), Errol Trzebinski (book), Kurt Luedtke (screenplay)","Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen",48310,20 Dec 1985,Won 7 Oscars. Another 22 wins & 28 nominations.,"Biography, Drama, Romance",7.2,"$55,600,000","English, Swahili",USA,"$15,300,000",,161 min,"$16,200,000",1,N/A,True,1985,"$87,100,000",tt0089755
R,The Green Mile,"Stephen King (novel), Frank Darabont (screenplay)","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt",702081,10 Dec 1999,Nominated for 4 Oscars. Another 13 wins & 28 nominations.,"Crime, Drama, Fantasy",8.5,"$120,600,000","English, French",USA,"$1,700,000",,189 min,"$14,400,000",0,61,True,1999,"$136,800,000",tt0120689
R,The Silence of the Lambs,"Thomas Harris (novel), Ted Tally (screenplay)","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",800970,14 Feb 1991,Won 5 Oscars. Another 48 wins & 33 nominations.,"Crime, Drama, Thriller",8.6,"$130,700,000",English,USA,$0,,118 min,$0,1,84,True,1991,"$130,700,000",tt0102926
PG-13,The Color Purple,"Alice Walker (novel), Menno Meyjes (screenplay)","Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey",57167,07 Feb 1986,Nominated for 11 Oscars. Another 13 wins & 12 nominations.,Drama,7.8,"$46,400,000",English,USA,"$16,200,000",,154 min,"$31,500,000",0,N/A,True,1985,"$94,200,000",tt0088939
PG-13,The Help,"Tate Taylor (screenplay), Kathryn Stockett (novel)","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",292349,10 Aug 2011,Won 1 Oscar. Another 74 wins & 103 nominations.,Drama,8.1,"$169,600,000",English,"USA, India, United Arab Emirates","$10,800",,146 min,"$97,400",0,62,True,2011,"$169,700,000",tt1454029
R,Gangs of New York,"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent",291630,20 Dec 2002,Nominated for 10 Oscars. Another 42 wins & 89 nominations.,"Crime, Drama, History",7.5,"$70,100,000","English, Irish, Chinese, Latin","USA, Italy","$790,000",,167 min,"$6,900,000",0,72,True,2002,"$77,800,000",tt0217505
PG-13,The Hours,"Michael Cunningham (novel), David Hare (screenplay)","Meryl Streep, Julianne Moore, Nicole Kidman, Ed Harris",96908,14 Feb 2003,Won 1 Oscar. Another 38 wins & 103 nominations.,Drama,7.6,"$21,900,000",English,"USA, UK","$2,800,000",,114 min,"$17,000,000",0,81,True,2002,"$41,700,000",tt0274558
R,12 Years a Slave,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",378027,08 Nov 2013,Won 3 Oscars. Another 223 wins & 295 nominations.,"Biography, Drama, History",8.1,"$39,000,000",English,"USA, UK","$6,300,000",,134 min,"$11,300,000",1,97,True,2013,"$56,700,000",tt2024544
R,The King's Speech,David Seidler (screenplay),"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",452317,25 Dec 2010,Won 4 Oscars. Another 95 wins & 182 nominations.,"Biography, Drama",8.1,"$57,900,000",English,"UK, USA, Australia","$21,200,000",,118 min,"$56,300,000",1,88,True,2010,"$135,500,000",tt1504320
PG-13,The Sixth Sense,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",652018,06 Aug 1999,Nominated for 6 Oscars. Another 32 wins & 45 nominations.,"Drama, Mystery, Thriller",8.2,"$278,400,000","English, Latin, Spanish",USA,"$3,200,000",,107 min,"$11,900,000",0,64,True,1999,"$293,500,000",tt0167404
R,The Killing Fields,Bruce Robinson (screenplay),"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands",40318,01 Feb 1985,Won 3 Oscars. Another 24 wins & 22 nominations.,"Drama, History, War",7.9,"$11,700,000","English, French, Khmer, Russian",UK,"$6,900,000",,141 min,"$16,200,000",0,N/A,True,1984,"$34,700,000",tt0087553
R,Bugsy,"James Toback, Dean Jennings (book)","Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley",20429,20 Dec 1991,Won 2 Oscars. Another 10 wins & 30 nominations.,"Biography, Crime, Drama",6.8,"$38,900,000",English,USA,"$1,300,000",,136 min,"$8,900,000",0,N/A,True,1991,"$49,100,000",tt0101516
PG,Tootsie,"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",73364,17 Dec 1982,Won 1 Oscar. Another 23 wins & 29 nominations.,"Comedy, Romance",7.4,"$100,800,000",English,USA,"$25,200,000",,116 min,"$51,200,000",0,87,True,1982,"$177,200,000",tt0084805
R,Born on the Fourth of July,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)","Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans",72490,05 Jan 1990,Won 2 Oscars. Another 13 wins & 22 nominations.,"Biography, Drama, War",7.2,"$48,700,000","English, Spanish",USA,"$4,400,000",,145 min,"$16,900,000",0,75,True,1989,"$70,000,000",tt0096969
R,Milk,Dustin Lance Black,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",128963,30 Jan 2009,Won 2 Oscars. Another 53 wins & 121 nominations.,"Biography, Drama, History",7.6,"$20,700,000",English,USA,"$3,700,000",,128 min,"$7,500,000",0,84,True,2008,"$31,800,000",tt1013753
R,Witness,"William Kelley (story), Pamela Wallace (story), Earl W. Wallace (story), Earl W. Wallace (screenplay), William Kelley (screenplay)","Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas",62743,08 Feb 1985,Won 2 Oscars. Another 10 wins & 26 nominations.,"Crime, Drama, Romance",7.5,"$68,700,000","English, German",USA,$0,,112 min,$0,0,76,True,1985,"$68,700,000",tt0090329
PG-13,Ray,"Taylor Hackford (story), James L. White (story), James L. White (screenplay)","Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",102332,29 Oct 2004,Won 2 Oscars. Another 48 wins & 47 nominations.,"Biography, Drama, Music",7.8,"$73,100,000",English,USA,"$252,000",,152 min,"$2,000,000",0,73,True,2004,"$75,300,000",tt0350258
R,Up in the Air,"Walter Kirn (novel), Jason Reitman (screenplay), Sheldon Turner (screenplay)","George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",258673,23 Dec 2009,Nominated for 6 Oscars. Another 74 wins & 136 nominations.,"Drama, Romance",7.5,"$73,500,000",English,USA,"$812,000",,109 min,"$9,500,000",0,83,True,2009,"$83,800,000",tt1193138
R,Silver Linings Playbook,"David O. Russell (screenplay), Matthew Quick (novel)","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",493310,25 Dec 2012,Won 1 Oscar. Another 84 wins & 139 nominations.,"Comedy, Drama, Romance",7.8,"$35,700,000",English,USA,"$24,900,000",,122 min,"$71,400,000",0,81,True,2012,"$132,100,000",tt1045658
R,A Serious Man,"Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick",95168,06 Nov 2009,Nominated for 2 Oscars. Another 16 wins & 60 nominations.,"Comedy, Drama",7,"$9,200,000","English, Yiddish, Hebrew","USA, UK, France",$0,,106 min,$0,0,79,True,2009,"$9,200,000",tt1019452
PG-13,A Beautiful Mind,"Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",548689,04 Jan 2002,Won 4 Oscars. Another 29 wins & 61 nominations.,"Biography, Drama",8.2,"$113,700,000",English,USA,"$16,000,000",,135 min,"$41,000,000",1,72,True,2001,"$170,700,000",tt0268978
R,Slumdog Millionaire,"Simon Beaufoy (screenplay), Vikas Swarup (novel)","Dev Patel, Saurabh Shukla, Anil Kapoor, Rajendranath Zutshi",596954,25 Dec 2008,Won 8 Oscars. Another 139 wins & 105 nominations.,"Drama, Romance",8,"$44,700,000","English, Hindi, French","UK, USA","$43,000,000",,120 min,"$53,600,000",1,86,True,2008,"$141,300,000",tt1010048
R,Rain Man,"Barry Morrow (story), Ronald Bass (screenplay), Barry Morrow (screenplay)","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",365025,16 Dec 1988,Won 4 Oscars. Another 21 wins & 21 nominations.,Drama,8,"$97,000,000","English, Italian",USA,"$15,100,000",,133 min,"$60,800,000",1,65,True,1988,"$172,800,000",tt0095953
PG-13,Gravity,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",532303,04 Oct 2013,Won 7 Oscars. Another 201 wins & 159 nominations.,"Sci-Fi, Thriller",7.9,"$256,400,000","English, Greenlandic","USA, UK","$3,600,000",,91 min,"$14,100,000",0,96,True,2013,"$274,100,000",tt1454468
R,Capote,"Dan Futterman (screenplay), Gerald Clarke (book)","Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald",93155,03 Feb 2006,Won 1 Oscar. Another 56 wins & 73 nominations.,"Biography, Crime, Drama",7.4,"$15,400,000",English,"Canada, USA","$3,300,000",,114 min,"$10,100,000",0,88,True,2005,"$28,800,000",tt0379725
R,Fargo,"Ethan Coen, Joel Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd",412212,05 Apr 1996,Won 2 Oscars. Another 69 wins & 51 nominations.,"Crime, Drama, Thriller",8.2,"$24,100,000",English,"USA, UK","$346,000",,98 min,"$183,000",0,85,True,1996,"$24,600,000",tt0116282
PG-13,Moneyball,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",268380,23 Sep 2011,Nominated for 6 Oscars. Another 27 wins & 70 nominations.,"Biography, Drama, Sport",7.6,"$75,500,000",English,USA,$0,,133 min,"$72,600",0,87,True,2011,"$75,600,000",tt1210166
R,My Left Foot,"Shane Connaughton (screenplay), Jim Sheridan (screenplay), Christy Brown (book)","Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan",46683,10 Nov 1989,Won 2 Oscars. Another 20 wins & 18 nominations.,"Biography, Drama",7.9,"$2,100,000",English,"Ireland, UK","$5,900,000",,103 min,"$6,800,000",0,N/A,True,1989,"$14,700,000",tt0097937
R,Brokeback Mountain,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)","Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",245925,13 Jan 2006,Won 3 Oscars. Another 119 wins & 106 nominations.,"Drama, Romance",7.7,"$51,700,000",English,"USA, Canada","$4,200,000",,134 min,"$27,200,000",0,87,True,2005,"$83,000,000",tt0388795
G,Babe,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",89243,04 Aug 1995,Won 1 Oscar. Another 18 wins & 21 nominations.,"Comedy, Drama, Family",6.8,"$58,200,000",English,"Australia, USA","$865,000",,91 min,"$4,600,000",0,83,True,1995,"$63,700,000",tt0112431
R,Elizabeth,Michael Hirst,"Cate Blanchett, Geoffrey Rush, Christopher Eccleston, Joseph Fiennes",72299,19 Feb 1999,Won 1 Oscar. Another 33 wins & 51 nominations.,"Biography, Drama, History",7.5,"$21,400,000","English, French","UK, USA","$2,200,000",,124 min,"$6,500,000",0,75,True,1998,"$30,100,000",tt0127536
R,The Insider,"Marie Brenner (article), Eric Roth, Michael Mann","Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora",127381,05 Nov 1999,Nominated for 7 Oscars. Another 22 wins & 48 nominations.,"Biography, Drama, Thriller",7.9,"$26,600,000","English, Japanese, Arabic, Persian",USA,"$609,000",,157 min,"$1,900,000",0,84,True,1999,"$29,100,000",tt0140352
PG-13,Ghost,Bruce Joel Rubin,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn",145476,13 Jul 1990,Won 2 Oscars. Another 16 wins & 22 nominations.,"Drama, Fantasy, Romance",7,"$213,600,000",English,USA,"$1,100,000",,127 min,"$2,900,000",0,52,True,1990,"$217,600,000",tt0099653
PG-13,The Theory of Everything,"Anthony McCarten (screenplay), Jane Hawking (book)","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",214904,26 Nov 2014,Won 1 Oscar. Another 23 wins & 106 nominations.,"Biography, Drama, Romance",7.7,"$26,200,000","English, French, Latin, Italian",UK,"$1,800,000",,123 min,"$7,900,000",0,72,True,2014,"$35,900,000",tt2980516
R,Mississippi Burning,Chris Gerolmo,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif",62008,27 Jan 1989,Won 1 Oscar. Another 16 wins & 24 nominations.,"Crime, Drama, Mystery",7.8,"$18,600,000",English,USA,"$713,000",,128 min,"$15,300,000",0,65,True,1988,"$34,600,000",tt0095647
R,The Shawshank Redemption,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",1555482,14 Oct 1994,Nominated for 7 Oscars. Another 14 wins & 18 nominations.,"Crime, Drama",9.3,"$16,800,000",English,USA,"$3,500,000",,142 min,"$8,100,000",0,80,True,1994,"$28,300,000",tt0111161
R,Gosford Park,"Robert Altman (idea), Julian Fellowes, Bob Balaban (idea)","Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford",62457,18 Jan 2002,Won 1 Oscar. Another 29 wins & 72 nominations.,"Drama, Mystery",7.3,"$22,300,000",English,"UK, USA, Italy","$3,600,000",,137 min,"$15,500,000",0,90,True,2001,"$41,300,000",tt0280707
R,Letters from Iwo Jima,"Iris Yamashita (screenplay), Iris Yamashita (story), Paul Haggis (story), Tadamichi Kuribayashi (book), Tsuyoko Yoshido (book)","Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase",126999,02 Feb 2007,Won 1 Oscar. Another 22 wins & 29 nominations.,"Drama, History, War",7.9,"$2,600,000","Japanese, English",USA,"$921,000",,141 min,"$10,200,000",0,89,True,2006,"$13,800,000",tt0498380
R,Children of a Lesser God,"Mark Medoff (stage play), Hesper Anderson (screenplay), Mark Medoff (screenplay)","William Hurt, Marlee Matlin, Piper Laurie, Philip Bosco",11151,31 Oct 1986,Won 1 Oscar. Another 4 wins & 12 nominations.,"Drama, Romance",7.2,"$22,100,000","English, American Sign Language",USA,"$4,400,000",,119 min,"$5,300,000",0,N/A,True,1986,"$31,900,000",tt0090830
PG-13,The Social Network,"Aaron Sorkin (screenplay), Ben Mezrich (book)","Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",436554,01 Oct 2010,Won 3 Oscars. Another 152 wins & 151 nominations.,"Biography, Drama",7.8,"$95,400,000","English, French",USA,"$44,800",,120 min,"$1,500,000",0,95,True,2010,"$97,000,000",tt1285016
R,The Hurt Locker,Mark Boal,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",305865,31 Jul 2009,Won 6 Oscars. Another 108 wins & 112 nominations.,"Drama, History, Thriller",7.6,"$12,700,000","English, Arabic",USA,"$2,300,000",,131 min,"$2,000,000",1,94,True,2008,"$17,000,000",tt0887912
R,Saving Private Ryan,Robert Rodat,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper",796329,24 Jul 1998,Won 5 Oscars. Another 71 wins & 74 nominations.,"Action, Drama, War",8.6,"$194,900,000","English, French, German, Czech",USA,"$6,300,000",,169 min,"$15,300,000",0,90,True,1998,"$216,500,000",tt0120815
PG-13,The Lord of the Rings: The Two Towers,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)","Bruce Allpress, Sean Astin, John Bach, Sala Baker",998747,18 Dec 2002,Won 2 Oscars. Another 96 wins & 106 nominations.,"Adventure, Fantasy",8.7,"$321,100,000","English, Sindarin, Old English","USA, New Zealand","$5,000,000",,179 min,"$13,700,000",0,88,True,2002,"$339,800,000",tt0167261
