Title,PreNomination,PostNomination,PostAwards,Total,Released,Year,Win,imdbVotes,imdbRating,Rated,Runtime,Metascore,,,,,,,,Writer,Actors,Language,imdbID,Country,Awards,Genre
Munich,40800000,6000000,672000,47400000,06 Jan 2006,2005,0,168845,7.6,R,164,74,,,,,,,,"Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book)","Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz","English, German, French, Hebrew, Arabic, Italian, Greek, Russian",tt0408306,"France, Canada, USA",Nominated for 5 Oscars. Another 13 wins & 54 nominations.,"Drama, History, Thriller"
Awakenings,36800000,11000000,4300000,52100000,11 Jan 1991,1990,0,85841,7.8,PG-13,121,74,,,,,,,,"Oliver Sacks (book), Steven Zaillian (screenplay)","Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson",English,tt0099077,USA,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,"Biography, Drama"
Frost/Nixon,8900000,8500000,1200000,18600000,23 Jan 2009,2008,0,85752,7.7,R,122,80,,,,,,,,"Peter Morgan (screenplay), Peter Morgan (play)","Frank Langella, Michael Sheen, Sam Rockwell, Kevin Bacon",English,tt0870111,"USA, UK, France",Nominated for 5 Oscars. Another 19 wins & 66 nominations.,"Drama, History"
Amadeus,25700000,9100000,16800000,51600000,05 Apr 1985,1984,1,248261,8.3,R,160,93,,,,,,,,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","English, Italian, Latin, German",tt0086879,"USA, France",Won 8 Oscars. Another 33 wins & 14 nominations.,"Biography, Drama, History"
Terms of Endearment,72900000,21800000,13700000,108400000,09 Dec 1983,1983,1,37547,7.4,R,132,79,,,,,,,,"Larry McMurtry (based on the novel by), James L. Brooks (screenplay)","Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito",English,tt0086425,USA,Won 5 Oscars. Another 26 wins & 16 nominations.,"Comedy, Drama"
Forrest Gump,300600000,16900000,12200000,329700000,06 Jul 1994,1994,1,1118949,8.8,PG-13,142,82,,,,,,,,"Winston Groom (novel), Eric Roth (screenplay)","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",English,tt0109830,USA,Won 6 Oscars. Another 36 wins & 51 nominations.,"Drama, Romance"
Shine,16100000,16400000,3400000,35900000,14 Feb 1997,1996,0,41113,7.7,PG-13,105,87,,,,,,,,"Jan Sardi (screenplay), Scott Hicks (story)","Geoffrey Rush, Justin Braine, Sonia Todd, Chris Haywood","English, Yiddish",tt0117631,Australia,Won 1 Oscar. Another 42 wins & 46 nominations.,"Biography, Drama, Music"
Prizzi's Honor,26700000,0,0,26700000,14 Jun 1985,1985,0,17686,6.8,R,130,N/A,,,,,,,,"Richard Condon (novel), Richard Condon (screenplay), Janet Roach (screenplay)","Jack Nicholson, Kathleen Turner, Robert Loggia, John Randolph",English,tt0089841,USA,Won 1 Oscar. Another 24 wins & 25 nominations.,"Comedy, Crime, Drama"
In the Name of the Father,6500000,14400000,4200000,25100000,25 Feb 1994,1993,0,99021,8.1,R,133,84,,,,,,,,"Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)","Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",English,tt0107207,"Ireland, UK, USA",Nominated for 7 Oscars. Another 7 wins & 18 nominations.,"Biography, Drama, History"
Quiz Show,21900000,2400000,475000,24800000,07 Oct 1994,1994,0,51236,7.5,PG-13,133,88,,,,,,,,"Paul Attanasio (screenplay), Richard N. Goodwin (book)","John Turturro, Rob Morrow, Ralph Fiennes, Paul Scofield",English,tt0110932,USA,Nominated for 4 Oscars. Another 5 wins & 22 nominations.,"Drama, History"
Titanic,338700000,156900000,105200000,600800000,19 Dec 1997,1997,1,731869,7.7,PG-13,194,74,,,,,,,,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","English, French, German, Swedish, Italian, Russian",tt0120338,USA,Won 11 Oscars. Another 106 wins & 73 nominations.,"Drama, Romance"
The Lord of the Rings: The Fellowship of the Ring,271700000,25900000,15800000,313400000,19 Dec 2001,2001,0,1135762,8.8,PG-13,178,92,,,,,,,,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Alan Howard, Noel Appleby, Sean Astin, Sala Baker","English, Sindarin",tt0120737,"New Zealand, USA",Won 4 Oscars. Another 100 wins & 110 nominations.,"Adventure, Fantasy"
Erin Brockovich,125600000,0,0,125600000,17 Mar 2000,2000,0,127319,7.3,R,131,73,,,,,,,,Susannah Grant,"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney",English,tt0195685,USA,Won 1 Oscar. Another 30 wins & 56 nominations.,"Biography, Drama"
Birdman,26600000,11200000,4600000,42300000,09 Sep 1967,1967–1969,1,415,7,TV-G,30,N/A,,,,,,,,N/A,"Keith Andes, Don Messick, John Stephenson, Vic Perrin",English,tt0061237,USA,N/A,"Animation, Action, Adventure"
The English Patient,42300000,21200000,15100000,78700000,06 Dec 1996,1996,1,133234,7.4,R,162,87,,,,,,,,"Michael Ondaatje (novel), Anthony Minghella (screenplay)","Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas","English, German, Italian, Arabic",tt0116209,"USA, UK",Won 9 Oscars. Another 48 wins & 64 nominations.,"Drama, Romance, War"
Nebraska,8600000,8500000,536000,17700000,24 Jan 2014,2013,0,83756,7.8,R,115,86,,,,,,,,Bob Nelson,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk","English, Spanish",tt1821549,USA,Nominated for 6 Oscars. Another 24 wins & 148 nominations.,"Adventure, Comedy, Drama"
Mystic River,59100000,23100000,7900000,90100000,15 Oct 2003,2003,0,320690,8,R,138,84,,,,,,,,"Brian Helgeland (screenplay), Dennis Lehane (novel)","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne",English,tt0327056,"USA, Australia",Won 2 Oscars. Another 51 wins & 111 nominations.,"Crime, Drama, Mystery"
Il postino,10700000,5700000,5400000,21800000,N/A,2001,0,N/A,N/A,N/A,N/A,N/A,,,,,,,,Cejen Cernic,N/A,N/A,tt0345806,N/A,N/A,"Documentary, Short"
Secrets & Lies,5900000,5900000,1600000,13400000,25 Oct 1996,1996,0,27018,8,R,136,91,,,,,,,,Mike Leigh,"Timothy Spall, Phyllis Logan, Brenda Blethyn, Claire Rushbrook",English,tt0117589,"France, UK",Nominated for 5 Oscars. Another 33 wins & 34 nominations.,Drama
Lost in Translation,34800000,9000000,714000,44600000,03 Oct 2003,2003,0,302990,7.8,R,101,89,,,,,,,,Sofia Coppola,"Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe","English, Japanese, German, French",tt0335266,"USA, Japan",Won 1 Oscar. Another 88 wins & 96 nominations.,Drama
The Aviator,58500000,35200000,9000000,102600000,25 Dec 2004,2004,0,243974,7.5,PG-13,170,77,,,,,,,,John Logan,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",English,tt0338751,"USA, Germany",Won 5 Oscars. Another 70 wins & 98 nominations.,"Biography, Drama"
"Crouching Tiger, Hidden Dragon",60800000,45500000,21800000,128100000,12 Jan 2001,2000,0,207131,7.9,PG-13,120,93,,,,,,,,"Du Lu Wang (book), Hui-Ling Wang (screenplay), James Schamus (screenplay), Kuo Jung Tsai (screenplay)","Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",Mandarin,tt0190332,"Taiwan, Hong Kong, USA, China",Won 4 Oscars. Another 94 wins & 124 nominations.,"Action, Drama, Romance"
Boyhood,24400000,943000,36800,25400000,15 Aug 2014,2014,0,230584,8,R,165,100,,,,,,,,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater","English, Spanish",tt1065073,USA,Won 1 Oscar. Another 163 wins & 189 nominations.,Drama
Toy Story 3,415000000,0,0,415000000,18 Jun 2010,2010,0,487755,8.4,G,103,92,,,,,,,,"John Lasseter (story), Andrew Stanton (story), Lee Unkrich (story), Michael Arndt (screenplay)","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","English, Spanish",tt0435761,USA,Won 2 Oscars. Another 56 wins & 86 nominations.,"Animation, Adventure, Comedy"
Jerry Maguire,121500000,21700000,10800000,154000000,13 Dec 1996,1996,0,179062,7.3,R,139,77,,,,,,,,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston","English, American Sign Language",tt0116695,USA,Won 1 Oscar. Another 24 wins & 35 nominations.,"Comedy, Drama, Romance"
The Pianist,9200000,11000000,12400000,32600000,28 Mar 2003,2002,0,450820,8.5,R,150,85,,,,,,,,"Ronald Harwood (screenplay), Wladyslaw Szpilman (book)","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard","English, German, Russian",tt0253474,"France, Poland, Germany, UK",Won 3 Oscars. Another 50 wins & 61 nominations.,"Biography, Drama, War"
The Departed,121800000,10000000,579000,132400000,06 Oct 2006,2006,1,793172,8.5,R,151,86,,,,,,,,"William Monahan (screenplay), Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","English, Cantonese",tt0407887,"USA, Hong Kong",Won 4 Oscars. Another 81 wins & 109 nominations.,"Crime, Drama, Thriller"
Goodfellas,41000000,2900000,2900000,46800000,21 Sep 1990,1990,0,667283,8.7,R,146,89,,,,,,,,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","English, Italian",tt0099685,USA,Won 1 Oscar. Another 37 wins & 29 nominations.,"Biography, Crime, Drama"
The Queen,35900000,17000000,3600000,56400000,17 Nov 2006,2006,0,79953,7.4,PG-13,103,91,,,,,,,,Peter Morgan,"Helen Mirren, James Cromwell, Alex Jennings, Roger Allam","English, German, French",tt0436697,"UK, USA, France, Italy",Won 1 Oscar. Another 84 wins & 82 nominations.,"Biography, Drama"
Dallas Buyers Club,16800000,8500000,2000000,27300000,22 Nov 2013,2013,0,289248,8,R,117,84,,,,,,,,"Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare","English, Japanese",tt0790636,USA,Won 3 Oscars. Another 77 wins & 71 nominations.,"Biography, Drama"
A Passage to India,13500000,11400000,2300000,27200000,01 Feb 1985,1984,0,12239,7.4,PG,164,N/A,,,,,,,,"E.M. Forster (by), E.M. Forster (based on the novel by), Santha Rama Rau (and the play by), David Lean (screenplay)","Judy Davis, Victor Banerjee, Peggy Ashcroft, James Fox","English, Hindi",tt0087892,"UK, USA",Won 2 Oscars. Another 19 wins & 26 nominations.,"Adventure, Drama, History"
A Few Good Men,120100000,14300000,7000000,141300000,11 Dec 1992,1992,0,171882,7.6,R,138,62,,,,,,,,"Aaron Sorkin (play), Aaron Sorkin (screenplay)","Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon",English,tt0104257,USA,Nominated for 4 Oscars. Another 9 wins & 16 nominations.,"Drama, Thriller"
