Title,Win,Oscar,Prod Budget,Gross Domestic,Release Date
The Strangers,0,0,9000000,52597610,"May 30, 2008"
The Best Man,0,0,9000000,34102780,"October 22, 1999"
Black or White,0,0,9000000,21571189,"January 30, 2015"
Leaves of Grass,0,0,9000000,70066,"September 17, 2010"
Memento,0,0,9000000,25544867,"March 16, 2001"
Undiscovered,0,0,9000000,1069318,"August 26, 2005"
The Girl on the Train,0,0,9000000,208023,"January 22, 2010"
Hamlet 2,0,0,9000000,4886216,"August 22, 2008"
The Virgin Suicides,0,0,9000000,4906229,"April 21, 2000"
All or Nothing,0,0,9000000,201546,"October 25, 2002"
Sicko,0,0,9000000,24540079,"June 22, 2007"
Princess Kaiulani,0,0,9000000,883887,"May 14, 2010"
Gracie,0,0,9000000,2956339,"June 1, 2007"
The Namesake,0,0,9500000,13569248,"March 9, 2007"
The Lost City,0,0,9600000,2484186,"April 28, 2006"
Sinister 2,0,0,10000000,27740955,"August 21, 2015"
Amelie,0,0,10000000,33225499,"November 2, 2001"
Limbo,0,0,10000000,2160710,"June 4, 1999"
The Limey,0,0,10000000,3204663,"October 8, 1999"
MacGruber,0,0,10000000,8525600,"May 21, 2010"
The Perfect Man,0,0,10000000,16535005,"June 17, 2005"
High Heels and Low Lifes,0,0,10000000,228194,"October 26, 2001"
Janky Promoters,0,0,10000000,9069,"October 16, 2009"
The Good Guy,0,0,10000000,100688,"February 19, 2010"
Cookie's Fortune,0,0,10000000,10920544,"April 2, 1999"
End of the Spear,0,0,10000000,11967000,"January 20, 2006"
Kung Pow! Enter the Fist,0,0,10000000,16037962,"January 25, 2002"
Insidious Chapter 3,0,0,10000000,52218558,"June 5, 2015"
The Gospel of John,0,0,10000000,4069090,"September 26, 2003"
The Runaways,0,0,10000000,3573673,"March 19, 2010"
Owning Mahowny,0,0,10000000,1011871,"May 2, 2003"
Shade,0,0,10000000,25032,"April 9, 2004"
Blood Done Sign My Name,0,0,10000000,109383,"February 19, 2010"
Best in Show,0,0,10000000,18715392,"September 29, 2000"
Twin Dragons,0,0,10000000,8359717,"April 9, 1999"
Jeepers Creepers,0,0,10000000,37904175,"August 31, 2001"
Dogville,0,0,10000000,1535286,"March 26, 2004"
Jurassic Park 3D,0,0,10000000,45385935,"April 5, 2013"
The Banger Sisters,0,0,10000000,30307416,"September 20, 2002"
Danny Collins,0,0,10000000,5637066,"March 20, 2015"
Turistas,0,0,10000000,7027762,"December 1, 2006"
Gentlemen Broncos,0,0,10000000,113682,"October 30, 2009"
Screwed,0,0,10000000,7027345,"May 12, 2000"
Spider,0,0,10000000,1642483,"December 20, 2002"
Saving Grace,0,0,10000000,12178602,"August 4, 2000"
Swept Away,0,0,10000000,598645,"October 11, 2002"
SwimFan,0,0,10000000,28564995,"September 6, 2002"
Office Space,0,0,10000000,10827810,"February 19, 1999"
Saw III,0,0,10000000,80238724,"October 27, 2006"
Skyline,0,0,10000000,21393620,"November 12, 2010"
The Brothers Solomon,0,0,10000000,900926,"September 7, 2007"
Calendar Girls,0,0,10000000,31041759,"December 19, 2003"
The Grudge,0,0,10000000,110359362,"October 22, 2004"
Run Fat Boy Run,0,0,10000000,6003262,"March 28, 2008"
Breakin' All the Rules,0,0,10000000,12264319,"May 14, 2004"
A Better Life,0,0,10000000,1759252,"June 24, 2011"
The Joneses,0,0,10000000,1475746,"April 16, 2010"
Close Your Eyes,0,0,10000000,41392,"April 23, 2004"
Dogma,0,0,10000000,30652890,"November 12, 1999"
She's All That,0,0,10000000,63366989,"January 29, 1999"
Krrish,0,0,10200000,1430721,"June 30, 2006"
Hostel Part II,0,0,10200000,17609452,"June 8, 2007"
Machete,0,0,10500000,26593646,"September 3, 2010"
Cruel Intentions,0,0,10500000,38328567,"March 5, 1999"
Darkness,0,0,10600000,22163442,"December 25, 2004"
Saw V,0,0,10800000,56746769,"October 24, 2008"
Darkness Falls,0,0,11000000,32551396,"January 24, 2003"
Kinsey,0,0,11000000,10254979,"November 12, 2004"
The Secret Life of Bees,0,0,11000000,37770162,"October 17, 2008"
Frailty,0,0,11000000,13110448,"April 12, 2002"
American Pie,0,0,11000000,102561004,"July 9, 1999"
Saw VI,0,0,11000000,27693292,"October 23, 2009"
Tomcats,0,0,11000000,13558739,"March 30, 2001"
I Think I Love My Wife,0,0,11000000,12550605,"March 16, 2007"
Jason X,0,0,11000000,13121555,"April 26, 2002"
Next Friday,0,0,11000000,57328603,"January 12, 2000"
September Dawn,0,0,11000000,1066555,"August 24, 2007"
If I Stay,0,0,11000000,50474843,"August 22, 2014"
Woman in Gold,0,0,11000000,33307195,"April 1, 2015"
Iron Monkey,0,0,11000000,14694904,"October 12, 2001"
A Walk to Remember,0,0,11800000,41281092,"January 25, 2002"
Brighton Rock,0,0,12000000,229653,"August 26, 2011"
Crank,0,0,12000000,27838408,"September 1, 2006"
Young Adult,0,0,12000000,16311571,"December 9, 2011"
Ravenous,0,0,12000000,2062405,"March 19, 1999"
The Rover,0,0,12000000,1114423,"June 13, 2014"
Breakfast of Champions,0,0,12000000,178278,"September 17, 1999"
Lars and the Real Girl,0,0,12000000,5972884,"October 12, 2007"
Charlie Bartlett,0,0,12000000,3951699,"February 22, 2008"
Tea with Mussolini,0,0,12000000,14401563,"May 14, 1999"
From Justin to Kelly,0,0,12000000,4928883,"June 20, 2003"
5 Days of War,0,0,12000000,17479,"August 19, 2011"
My Baby's Daddy,0,0,12000000,17669317,"January 9, 2004"
Cadillac Records,0,0,12000000,8195551,"December 5, 2008"
Project Almanac,0,0,12000000,22348241,"January 30, 2015"
Centurion,0,0,12000000,123570,"August 27, 2010"
Stoker,0,0,12000000,1714221,"March 1, 2013"
Aquamarine,0,0,12000000,18597342,"March 3, 2006"
Seed of Chucky,0,0,12000000,17083732,"November 12, 2004"
Stir of Echoes,0,0,12000000,21142914,"September 10, 1999"
Act of Valor,0,0,12000000,70012847,"February 24, 2012"
Sorority Boys,0,0,12000000,10200032,"March 22, 2002"
Employee of the Month,0,0,12000000,28444855,"October 6, 2006"
Paper Towns,0,0,12000000,32000304,"July 24, 2015"
City of Life and Death,0,0,12000000,122558,"May 11, 2011"
No Good Deed,0,0,12000000,181600,"September 12, 2003"
Crossroads,0,0,12000000,37191304,"February 15, 2002"
Think Like a Man,0,0,12000000,91547205,"April 20, 2012"
Philomena,0,1,12000000,37709979,"November 22, 2013"
Catch That Kid,0,0,12000000,16703799,"February 6, 2004"
Step Up,0,0,12000000,65328121,"August 11, 2006"
Nebraska,0,1,12000000,17654912,"November 15, 2013"
Ondine,0,0,12000000,550472,"June 4, 2010"
Duma,0,0,12000000,870067,"April 22, 2005"
Baby Geniuses,0,0,12000000,27250736,"March 12, 1999"
House of the Dead,0,0,12000000,10249719,"October 10, 2003"
2046,0,0,12000000,1444588,"August 5, 2005"
The Upside of Anger,0,0,12000000,18761993,"March 11, 2005"
Chronicle (2012),0,0,12000000,64575175,"February 3, 2012"
Black and White,0,0,12000000,5277299,"April 7, 2000"
Barbershop,0,0,12000000,75782105,"September 13, 2002"
Mozart and the Whale,0,0,12000000,36006,"April 14, 2006"
Jobs,0,0,12000000,16131410,"August 16, 2013"
Heaven is for Real,0,0,12000000,91443253,"April 16, 2014"
Just the Ticket,0,0,12000000,430404,"February 26, 1999"
One Hour Photo,0,0,12000000,31597131,"August 21, 2002"
Frida,0,0,12000000,25885000,"October 25, 2002"
Quarantine,0,0,12000000,31691811,"October 10, 2008"
The Fault in our Stars,0,0,12000000,124872350,"June 6, 2014"
Hideous Kinky,0,0,12000000,1263279,"April 16, 1999"
Johnson Family Vacation,0,0,12000000,31203964,"April 7, 2004"
Married Life,0,0,12000000,1507990,"March 7, 2008"
The Emperor's Club,0,0,12500000,14118751,"November 22, 2002"
Conviction,0,0,12500000,6783129,"October 15, 2010"
The Matador,0,0,12500000,12594698,"December 30, 2005"
About Last Night (2014),0,0,12500000,48637684,"February 14, 2014"
Sorority Row,0,0,12500000,11965282,"September 11, 2009"
Casino Jack,0,0,12500000,1042959,"December 17, 2010"
Antwone Fisher,0,0,12500000,21078145,"December 19, 2002"
The Drop,0,0,12600000,10724389,"September 12, 2014"
Wrong Turn,0,0,12600000,15418790,"May 30, 2003"
Attack the Block,0,0,13000000,1024175,"July 29, 2011"
Earth to Echo,0,0,13000000,38934842,"July 2, 2014"
Turn It Up,0,0,13000000,1247949,"September 8, 2000"
Black Swan,0,1,13000000,106954678,"December 3, 2010"
Two Can Play That Game,0,0,13000000,22235901,"September 7, 2001"
The Life Before Her Eyes,0,0,13000000,303439,"April 18, 2008"
A Prophet (Un proph�te),0,0,13000000,2087720,"February 26, 2010"
Godzilla 2000,0,0,13000000,10037390,"August 18, 2000"
Stomp the Yard,0,0,13000000,61356221,"January 12, 2007"
"Dude, Where's My Car?",0,0,13000000,46729800,"December 15, 2000"
Being John Malkovich,0,0,13000000,22863596,"October 29, 1999"
The Killer Inside Me,0,0,13000000,217277,"June 18, 2010"
Teaching Mrs. Tingle,0,0,13000000,8951935,"August 20, 1999"
crazy/beautiful,0,0,13000000,16937988,"June 29, 2001"
Find Me Guilty,0,0,13000000,1173643,"March 17, 2006"
This Christmas,0,0,13000000,49121934,"November 21, 2007"
The New Guy,0,0,13000000,29760152,"May 10, 2002"
Light it Up,0,0,13000000,5985690,"November 10, 1999"
Phone Booth,0,0,13000000,46566212,"April 4, 2003"
Admission,0,0,13000000,18007317,"March 22, 2013"
Love's Labour's Lost,0,0,13000000,299792,"June 9, 2000"
Snow Day,0,0,13000000,60020107,"February 11, 2000"
Bubble Boy,0,0,13000000,5007898,"August 24, 2001"
The Astronaut Farmer,0,0,13000000,11003643,"February 23, 2007"
Vincere,0,0,13000000,619162,"March 19, 2010"
21 and Over,0,0,13000000,25682380,"March 1, 2013"
The Call,0,0,13000000,51872378,"March 15, 2013"
The Butterfly Effect,0,0,13000000,57938693,"January 23, 2004"
No Good Deed (2014),0,0,13200000,52543632,"September 12, 2014"
Under the Skin (2014),0,0,13300000,2614251,"April 4, 2014"
The Last Godfather,0,0,13400000,164247,"April 1, 2011"
Far From Heaven,0,0,13500000,15901849,"November 8, 2002"
The Caveman's Valentine,0,0,13500000,687194,"March 2, 2001"
Beautiful,0,0,14000000,3157348,"September 29, 2000"
Chloe,0,0,14000000,3075255,"March 26, 2010"
Freddy Got Fingered,0,0,14000000,14254993,"April 20, 2001"
A Perfect Getaway,0,0,14000000,15515460,"August 7, 2009"
The Possession,0,0,14000000,49130154,"August 31, 2012"
Head Over Heels,0,0,14000000,10424470,"February 2, 2001"
Hot Tub Time Machine 2,0,0,14000000,12314651,"February 20, 2015"
An Everlasting Piece,0,0,14000000,75228,"December 22, 2000"
An American Haunting,0,0,14000000,16298046,"May 5, 2006"
My Boss's Daughter,0,0,14000000,15550605,"August 22, 2003"
Flipped,0,0,14000000,1755212,"August 6, 2010"
Sparkle (2012),0,0,14000000,24397469,"August 17, 2012"
Bee Season,0,0,14000000,1180560,"November 11, 2005"
Margaret,0,0,14000000,46495,"September 30, 2011"
Brokeback Mountain,0,1,14000000,83043761,"December 9, 2005"
Because of Winn-Dixie,0,0,14000000,32647042,"February 18, 2005"
Fun Size,0,0,14000000,9409538,"October 26, 2012"
Onegin,0,0,14000000,206128,"December 17, 1999"
Gun Shy,0,0,14000000,1638202,"February 4, 2000"
Slackers,0,0,14000000,5285941,"February 1, 2002"
Manderlay,0,0,14200000,78378,"January 27, 2006"
Magic Mike XXL,0,0,14800000,66013057,"July 1, 2015"
Not Another Teen Movie,0,0,15000000,38252284,"December 14, 2001"
Where the Heart Is,0,0,15000000,33772838,"April 28, 2000"
Whip It,0,0,15000000,13043363,"October 2, 2009"
Country Strong,0,0,15000000,20218921,"December 22, 2010"
Big Fat Liar,0,0,15000000,48360547,"February 8, 2002"
Malibu's Most Wanted,0,0,15000000,34432201,"April 18, 2003"
American Beauty,1,1,15000000,130096601,"September 15, 1999"
