Q1,NumTheaters,ProductionBudget,Q2,Nom,G,Title,Oscar,PG13,NC17,ReleaseDate,ReleaseLength,R,PG,Q4,Win,Rating,Unrated,Runtime,Q3,TotalBoxOffice
0,3139,20000000,0,0,0,Jackass 3-D,0,0,0,"October 15, 2010",98,1,0,1,0,R,0,94,0,117229692
0,2505,22000000,0,0,0,The Informant!,0,0,0,"September 18, 2009",91,1,0,0,0,R,0,108,1,33316821
1,3216,53000000,0,0,0,Be Cool,0,1,0,"March 4, 2005",63,0,0,0,0,PG-13,0,104,0,56046979
0,3412,5000000,0,0,0,Paranormal Activity 4,0,0,0,"October 19, 2012",77,1,0,1,0,R,0,95,0,53900335
0,3329,5000000,0,0,0,Paranormal Activity 3,0,0,0,"October 21, 2011",77,1,0,1,0,R,0,81,0,104028807
0,3239,3000000,0,0,0,Paranormal Activity 2,0,0,0,"October 22, 2010",91,1,0,1,0,R,0,91,0,84752907
0,2725,44000000,0,0,0,Charlie St. Cloud,0,1,0,"July 30, 2010",49,0,0,0,0,PG-13,0,90,1,31162545
0,65,2000000,0,0,0,Paradise Now,0,1,0,"October 28, 2005",147,0,0,1,0,PG-13,0,90,0,1457843
0,3114,30000000,0,0,0,Fright Night (2011),0,0,0,"August 19, 2011",84,1,0,0,0,R,0,106,1,18302607
0,2778,28000000,0,0,0,American Ultra,0,0,0,"August 21, 2015",49,1,0,0,0,R,0,96,1,14440985
0,2402,21000000,0,0,0,We Own the Night,0,0,0,"October 12, 2007",35,1,0,1,0,R,0,118,0,28563179
0,2557,50000000,0,0,0,Dredd,0,0,0,"September 21, 2012",42,1,0,0,0,R,0,95,1,13414714
0,2465,40000000,0,0,0,Apocalypto,0,0,0,"December 8, 2006",91,1,0,1,0,R,0,138,0,50866635
1,3066,80000000,0,0,0,Edge of Darkness,0,0,0,"January 29, 2010",70,1,0,0,0,R,0,108,0,43313890
0,700,10000000,0,0,0,The Brothers Solomon,0,0,0,"September 7, 2007",21,1,0,0,0,R,0,91,1,900926
0,2629,67000000,1,0,0,Grindhouse,0,0,0,"April 6, 2007",77,1,0,0,0,R,0,191,0,25037897
0,3894,100000000,1,0,0,Epic,0,0,0,"May 24, 2013",119,0,1,0,0,PG,0,102,0,107518682
0,2917,23000000,0,0,0,Accepted,0,1,0,"August 18, 2006",63,0,0,0,0,PG-13,0,90,1,36323505
0,2436,30000000,0,0,0,Like Mike,0,0,0,"July 3, 2002",140,0,1,0,0,PG,0,100,1,51432760
0,3030,32000000,0,0,0,Going the Distance,0,0,0,"September 3, 2010",49,1,0,0,0,R,0,97,1,17804299
1,3171,50000000,0,0,0,Run All Night,0,0,0,"March 13, 2015",56,1,0,0,0,R,0,114,0,26461644
0,3706,45000000,0,0,0,Taken 2,0,1,0,"October 5, 2012",140,0,0,1,0,PG-13,0,91,0,139854287
1,3594,48000000,0,0,0,Taken 3,0,1,0,"January 9, 2015",126,0,0,0,0,PG-13,0,109,0,89256424
0,2975,38000000,0,0,0,The Ugly Truth,0,0,0,"July 24, 2009",77,1,0,0,0,R,0,96,1,88915214
0,8,14000000,0,0,0,An Everlasting Piece,0,0,0,"December 22, 2000",28,1,0,1,0,R,0,103,0,75228
0,2534,25000000,0,1,0,The Fighter,1,0,0,"December 10, 2010",112,1,0,1,0,R,0,114,0,93617009
0,3371,34000000,1,0,0,The Longest Ride,0,1,0,"April 10, 2015",91,0,0,0,0,PG-13,0,139,0,37446117
0,3044,25000000,0,0,0,The Counselor,0,0,0,"October 25, 2013",84,1,0,1,0,R,0,117,0,16973715
0,3505,178000000,1,0,0,Edge of Tomorrow,0,1,0,"June 6, 2014",98,0,0,0,0,PG-13,0,113,0,100206256
0,3595,100000000,0,0,0,Hercules (2014),0,1,0,"July 25, 2014",84,0,0,0,0,PG-13,0,98,1,72688614
0,1411,25000000,0,1,0,Finding Neverland,1,0,0,"November 12, 2004",168,0,1,1,0,PG,0,101,0,51680613
